entry_time,exit_time,side,entry_price,exit_price,reason,pnl_points,pnl_brl,equity_brl
2026-08-13 09:15:00,2026-08-13 09:30:00,short,169490,169960.629745457,stop,-480.62974545700126,-97.32594909140026,1924.0902544971914
2026-08-13 12:15:00,2026-08-13 13:55:00,short,169945,170307.3824783832,stop,-372.3824783831951,-75.67649567663904,1848.4137588205524
2026-08-14 16:20:00,2026-08-14 16:30:00,long,169090,169570.96894417846,target,470.9689441784576,92.99378883569152,1941.4075476562439
2026-08-14 16:30:00,2026-08-14 16:40:00,long,169570,169264.03610763076,stop,-315.96389236924006,-64.39277847384801,1877.0147691823959
2026-08-14 16:45:00,2026-08-17 09:00:00,long,169795,170579.91121276162,target,774.9112127616245,153.78224255232493,2030.7970117347209
2026-08-18 10:40:00,2026-08-18 11:15:00,long,171180,170555.31144434374,stop,-634.6885556562629,-128.1377111312526,1902.6593006034682
2026-08-18 17:10:00,2026-08-18 17:55:00,short,169205,169404.73621238396,stop,-209.73621238395572,-43.14724247679115,1859.512058126677
2026-08-19 09:30:00,2026-08-19 10:05:00,long,170995,172219.28332858585,target,1214.2833285858505,241.65666571717014,2101.168723843847
2026-08-19 10:05:00,2026-08-19 12:45:00,long,172140,171431.35621157286,stop,-718.6437884271436,-144.9287576854287,1956.2399661584184
2026-08-19 12:45:00,2026-08-19 16:00:00,short,171340,170591.667909566,target,738.3320904340071,146.46641808680144,2102.70638424522
2026-08-20 11:50:00,2026-08-20 12:40:00,long,172065,171479.86030136354,stop,-595.1396986364562,-120.22793972729124,1982.4784445179287
2026-08-20 13:50:00,2026-08-21 09:00:00,short,170780,171078.761889708,stop,-308.7618897079956,-62.952377941599124,1919.5260665763296
2026-08-24 10:50:00,2026-08-25 12:55:00,long,174350,176192.9644911522,target,1832.9644911522046,365.39289823044095,2284.9189648067704
2026-08-25 12:55:00,2026-08-25 16:10:00,long,176220,177113.74406734807,target,883.7440673480742,175.54881346961486,2460.467778276385
2026-08-25 16:25:00,2026-08-26 09:00:00,long,177385,178026.2704144019,target,631.2704144018935,125.0540828803787,2585.521861156764
2026-08-27 13:35:00,2026-08-28 09:00:00,long,177780,177505.1611814441,stop,-284.8388185559015,-58.167763711180314,2527.3540974455836
2026-08-28 16:30:00,2026-08-28 17:40:00,long,178235,177971.27450896852,stop,-273.7254910314805,-55.9450982062961,2471.4089992392874
2026-08-31 10:05:00,2026-08-31 10:50:00,long,180785,180108.78075992718,stop,-686.2192400728236,-138.4438480145647,2332.965151224723
2026-09-01 09:50:00,2026-09-01 10:10:00,long,181145,180588.45729015197,stop,-566.5427098480286,-114.50854196960573,2218.456609255117
2026-09-02 10:50:00,2026-09-02 11:20:00,long,185740,187513.20620080852,target,1763.2062008085195,351.44124016170394,2569.8978494168214
2026-09-02 11:20:00,2026-09-03 09:00:00,long,187550,189183.94209263482,target,1623.9420926348248,323.588418526965,2893.4862679437865
2026-09-03 09:35:00,2026-09-03 11:05:00,long,190590,189857.57987536752,stop,-742.420124632481,-149.6840249264962,2743.8022430172905
2026-09-03 12:10:00,2026-09-03 13:30:00,short,188500,187449.7157595849,target,1040.284240415087,206.8568480830174,2950.6590911003077
2026-09-03 13:30:00,2026-09-03 16:30:00,short,187420,187799.17554613948,stop,-389.1755461394787,-79.03510922789575,2871.623981872412
2026-09-04 10:25:00,2026-09-04 10:40:00,short,185710,186511.0578201134,stop,-811.0578201134049,-163.41156402268098,2708.212417849731
2026-09-04 12:45:00,2026-09-04 14:05:00,long,188660,188267.9946602752,stop,-402.0053397247975,-81.60106794495951,2626.6113499047715
2026-09-04 16:30:00,2026-09-04 17:05:00,short,187115,187390.64578531627,stop,-285.64578531627194,-58.32915706325439,2568.282192841517
2026-09-08 13:20:00,2026-09-08 14:20:00,short,189770,190162.57325432883,stop,-402.57325432883226,-81.71465086576646,2486.5675419757504
2026-09-08 15:25:00,2026-09-08 15:45:00,long,190865,190533.40159078676,stop,-341.5984092132421,-69.51968184264842,2417.047860133102
2026-09-09 17:25:00,2026-09-09 18:00:00,long,188315,188809.26163246523,target,484.26163246523356,95.65232649304671,2512.7001866261485
2026-09-10 11:45:00,2026-09-11 09:00:00,long,189790,191152.1660982125,target,1352.1660982125031,269.23321964250067,2781.9334062686494
